"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"59",-0.0162846865760904,-0.0207957509909821,-0.0843056953254994,-0.0875893898444914,-0.0320238550894487,-0.0360670410649521,-0.022562679980054,-0.0272050617696744,-0.0384758671986959,-0.0422854931535251,-0.0443931771407172,-0.0476988123238979,-0.0359050231854959,-0.0387139453119265
"60",-0.0184179389190469,-0.0206882448341573,-0.0460690988948858,-0.0464641443034277,-0.0325396647968155,-0.0376565604384946,-0.0220441023678239,-0.0248570213477766,-0.0181309221836882,-0.0195182506516313,-0.0785176345004957,-0.0771527013158456,-0.0247333618467802,-0.029275706813515
"61",-0.0320466963992597,-0.0355945405296992,-0.0273925311423345,-0.0296835948080594,-0.0546040521982184,-0.0556659672470172,-0.0262698395406492,-0.0304192154716618,0.00368096078503174,0.00194939377482517,-0.0436711266157206,-0.0436486304669677,-0.0475105830180383,-0.05114559141252
"62",-0.0353292801908378,-0.0392334463220747,-0.0188661417098,-0.0210011318698942,-0.0456439365650705,-0.0471044479180719,-0.0195757026354374,-0.0242408082820615,-0.0114071375639918,-0.01368783388606,-0.0461617436248651,-0.0480946549799762,-0.026917333789352,-0.0291693490377968
"63",-0.0310426370706482,-0.0322037986737986,-0.0343990598698519,-0.0378304365685197,-0.0621149769980915,-0.0634440408353381,-0.0252115866029217,-0.0296996156869548,-0.0149427120740161,-0.0166062659559553,-0.0392963459361139,-0.0383350653345675,-0.0638923397388206,-0.0678356228213612
"64",-0.0170731042158953,-0.0209411630495803,-0.0458242931855894,-0.0454284265574817,-0.064621366316697,-0.0678141305951835,-0.0278721558224905,-0.0320848728597045,-0.00829347797161415,-0.0143079157247502,-0.0563303530844543,-0.0597962596665006,-0.0372285253582642,-0.040215665595506
"65",-0.0303611949468308,-0.0317393170734837,-0.0329192443540984,-0.0371212061228902,-0.0460751964451036,-0.0532932811910426,-0.0494444048482947,-0.0554953588791027,-0.0187909011181305,-0.0233984195214801,-0.0735673604528906,-0.0738445168623989,-0.0540296130731759,-0.0564734843124701
"66",-0.0191174603564864,-0.0214088108548041,-0.0439476947539476,-0.0445403359668034,-0.0635952384741461,-0.064399251782562,-0.0463602027650065,-0.0494090812814483,-0.0217717710573494,-0.023790838535465,-0.049978610781476,-0.0495251534712274,-0.0256683924379397,-0.0276095844375863
"67",-0.00444908546545852,-0.00882756707250099,-0.0173987359128639,-0.0191018433557171,-0.0384073263028719,-0.0430997963023175,-0.0326364050228126,-0.0353017269975363,-0.0152047919557489,-0.0163314245921881,-0.0586197159317138,-0.0583712771490235,-0.0714274929992122,-0.0761008019269446
"68",-0.0229299147797686,-0.0282889238844586,-0.0330691939962979,-0.0341415406532374,-0.0579363884136746,-0.0618226566098712,-0.0298516715493548,-0.0332759465264902,-0.00686389211568781,-0.0100826940609895,-0.0597176383312239,-0.0613838415523398,-0.0308579699605569,-0.0357778720343046
"69",-0.0248039274507218,-0.0275084013739653,-0.0162580455559826,-0.0202856790634759,-0.0487243405266978,-0.0555360197205268,-0.0459962996224842,-0.0511982013407322,-0.0246292838470637,-0.0250980758436482,-0.0426199721027571,-0.0392723392781257,-0.0254472800616492,-0.0284075962503535
"70",-0.0196842687566129,-0.0202361984132928,-0.053767111430652,-0.0535982811509805,-0.0371834684801083,-0.0417635298972038,-0.0238821162769959,-0.0281551517817515,-0.0384180239022107,-0.0421223763077756,-0.0673066745245337,-0.0706774440248246,-0.0333770518535606,-0.0386678003927141
"71",-0.0240433200145963,-0.0263345129164901,-0.0325573744713185,-0.0361646555821554,-0.0503507652733541,-0.0562033037093529,-0.0339630048923659,-0.0372225593407796,-0.0485095321494294,-0.0520275239410272,-0.0525151989887941,-0.056075338106645,-0.0360604242787117,-0.0387229502277859
"72",-0.0193125886442024,-0.021012667995019,-0.037895331541426,-0.0399044476328591,-0.0581725603329968,-0.0579517073196644,-0.0419755889228885,-0.0461274402738943,-0.0136639440801085,-0.0140898985644239,-0.0263942461744095,-0.0244721256805402,-0.034054003457521,-0.0364546414814675
"73",-0.0579676371817693,-0.0594383393378789,-0.0248453679768699,-0.0268445460753891,-0.0657102790987,-0.067953965468041,-0.0477930392745632,-0.0521838425923569,-0.0446019245947952,-0.0469551004760893,-0.0870033427274217,-0.0901599256356578,-0.0249861320567076,-0.0283771646712382
"74",-0.0266788751445355,-0.0294847629950018,-0.0415483065292629,-0.0445551611214636,-0.0462606069156857,-0.0487599436973345,-0.0332583303696388,-0.0355611490494941,-0.0714931516263266,-0.0719495741320817,-0.0573134509826289,-0.0615650890051588,-0.0506219973324337,-0.0533959765029002
"75",-0.0458430168249548,-0.048414923149491,-0.058618551402725,-0.0612341174788561,-0.0364333273141547,-0.0408067349790786,-0.0540401505587282,-0.0596077951277354,-0.0630096120329551,-0.0623822051274995,-0.0136152194637554,-0.0146412113496669,-0.0418610223996985,-0.0424780216227654
"76",-0.0464449701288252,-0.0478373751276921,-0.0562490716620502,-0.0578506910697691,-0.0402490295804728,-0.0471333322429822,-0.0490651483056342,-0.0495860512740666,-0.0200485665127734,-0.0233365842081451,-0.071620431011434,-0.0729360103165675,-0.0239873473846791,-0.0261201983173196
"77",-0.0323994046777389,-0.037476366880541,-0.0289701770011709,-0.0330095034363174,-0.0378605356370644,-0.0429716429282377,-0.0308668294165739,-0.0335929053465112,-0.0265761700368314,-0.0296847776249097,-0.05940571426337,-0.0614252620145076,-0.0782597748009725,-0.0827755954586396
"78",-0.0214064144089997,-0.0251631879318566,-0.0389593561109781,-0.0401994945846081,-0.0467939782242095,-0.0471702123133271,-0.0683849678398873,-0.0766084665229144,-0.0263415935359278,-0.0279604991676562,-0.0484173604955789,-0.0499381867659077,-0.0314689090618052,-0.0346147142134872
"79",-0.00364500164204589,-0.0051206383851583,-0.0617937320102341,-0.0634555345280718,-0.0735218171279216,-0.0738901304970355,-0.029305463481347,-0.0328015302034641,-0.012520472676328,-0.0149101144638836,-0.0653120260466517,-0.0657802514483058,-0.0246093361259004,-0.0286729601269655
"80",-0.0429115780261022,-0.0413626460291077,-0.0318240764690205,-0.0333998677368387,-0.0634205316361151,-0.0680427695244242,-0.0404335203233128,-0.0440589127546894,-0.036857383789358,-0.0370035534623216,-0.0337116496318029,-0.0367084584642695,-0.0312240790290404,-0.0333394112398842
"81",-0.0161356492731366,-0.0171404829740014,-0.0217066671387032,-0.0243655764018492,-0.0342852211312861,-0.038386313809543,-0.0358660578215397,-0.0400050487684569,-0.0341090326120732,-0.0362775319527737,-0.0306032493082572,-0.0376511787596723,-0.0386641659588283,-0.043184878547977
"82",-0.0223060814121738,-0.0244124632747165,-0.0699302429515837,-0.071438717002648,-0.0317145624920271,-0.0338608008653379,-0.0313610671852051,-0.0346675199983251,-0.0220154675769252,-0.0259479227456467,-0.0650707796252729,-0.0711553576330104,-0.0367455069860048,-0.0393462633078504
"83",-0.0658606945000602,-0.0676306425939517,-0.0491090922955838,-0.0528466573598341,-0.0399585761507215,-0.0447054014069963,-0.0720760903007963,-0.0742904270534031,-0.0249373399232704,-0.0259577970949628,-0.0336493887489466,-0.0361525575129429,-0.0217490137813398,-0.0244475832344385
"84",-0.024334433778906,-0.0256547855817093,-0.0397130123230811,-0.0426090482624679,-0.0786718488611875,-0.0839302745903909,-0.0377197207780687,-0.0397979476169654,-0.0191534749199978,-0.0224203644133573,-0.03236854666161,-0.0329244577901233,-0.0258603577705761,-0.0287230771071009
"85",-0.0232386292900082,-0.0261331317613677,-0.0346040798488852,-0.0346202604977645,-0.0445591233886813,-0.0482080766519012,-0.0232368140915938,-0.0287610037480704,-0.0124686105380076,-0.0156113581129499,-0.0295945572386986,-0.0331770452242375,-0.0271583131411013,-0.0294834724287574
"86",-0.0334326140817315,-0.0341416499787826,-0.0316562373595429,-0.0341739942215857,-0.0415751960278056,-0.0435284192247407,-0.0611265897369767,-0.0665612284913657,-0.0219900602713396,-0.0250609008146075,-0.0573080355474466,-0.0624058223805919,-0.058201303604889,-0.059487878882211
"87",-0.0211774841370571,-0.0251529787206033,-0.0472289116647883,-0.0484935171796145,-0.0535066298687662,-0.0539418816093142,-0.0659310846434746,-0.0712000905251614,-0.00822021897228309,-0.00806861857791419,-0.0404838408488059,-0.0364059644008187,-0.0415182925439355,-0.042851548099345
"88",-0.059547515371869,-0.0627779633309452,-0.0438473891768087,-0.0464969974010963,-0.0297305385033726,-0.0342816809192957,-0.0376921996549586,-0.0415311709154998,-0.0344272887426453,-0.0350509920254305,-0.0326093533901672,-0.0327238016192788,-0.0343622263590624,-0.0373498377807573
"89",-0.0177105433181616,-0.0177006880812135,-0.0348360738151973,-0.0364808305043055,-0.040699272216888,-0.0453973020770203,-0.0125049281054873,-0.0149240912591765,-0.018999670237892,-0.0199069042638769,-0.0308268348145746,-0.030525313327998,-0.0531535505808913,-0.0570201623402384
"90",-0.0470454002451632,-0.0458104143581539,-0.0357811098807332,-0.0380315530701405,-0.0415135332009865,-0.0453291193605119,-0.0604464301989131,-0.0623449122376392,-0.0226721194217266,-0.0226550706347942,-0.0478474869145149,-0.0493159926004323,-0.0629248834983811,-0.0679566929361527
"91",-0.0280408713812196,-0.029302400692135,-0.0517651407124675,-0.0537065263109209,-0.0617646060760163,-0.0655395459426046,-0.0550476873450804,-0.0565709326058541,-0.0259521154403423,-0.028253969967172,-0.0193023423273794,-0.0201039006453294,-0.0394344513885233,-0.0437443043525497
"92",-0.0415531623042313,-0.0440301588953195,-0.0168587710005755,-0.0184003226024078,-0.0379482511712007,-0.0401388507372231,-0.0206688618354407,-0.0259032722559575,-0.0261396206418455,-0.0312099283331068,-0.0448999361717931,-0.0430910301206927,-0.032271755807342,-0.0346896752536673
"93",-0.0182114253757496,-0.0198610660513979,-0.0217066209639337,-0.0247829847047586,-0.0739232565009483,-0.0799157742560538,-0.0621469088163633,-0.0662364577570447,-0.0266400022786651,-0.0285655516417229,-0.0439557587276865,-0.0502988731956133,-0.0245298422917816,-0.0289133311427051
"94",-0.0244832305647203,-0.0279390824616657,-0.0377366944788612,-0.0428221451363371,-0.02838023918121,-0.0301862669154137,-0.0225217710819391,-0.0267856405858012,-0.0217664315276458,-0.023470371827998,-0.067507321860291,-0.070723266706072,-0.0229909218932102,-0.0262911716725611
"95",-0.0542432900352827,-0.0524611214277142,-0.0354200626078067,-0.0362237325855171,-0.0234520973296075,-0.0267457677142995,-0.0710411679964943,-0.076388688728047,-0.01887493778231,-0.0196578982510824,-0.030504769397309,-0.0340606236121503,-0.036623001966329,-0.0392116530101164
